Ticket ID,Status,Priority,Source,Topic,Product Group,Support Level,Agent Group,Agent Name,Country,Latitude,Longitude,Created Time,Expected First Response By,First Response Time,First Response SLA Status,Expected Resolution By,Resolution Time,Resolution SLA Status,Close Time,First Response Time (Minutes),First Response SLA Buffer (Minutes),Resolution Time (Hours),Resolution SLA Buffer (Hours),Response to Resolution (Hours),Resolution to Close (Hours),Total Lifecycle (Hours),Created Day of Week,Created Hour,Is Weekend,Agent Interactions,Survey Result,Response Check,Resolution check,Close time check
1024,Closed,Medium,Chat,Other,Custom software development,Tier 1,1st line support,Bernard Beckley,Czech Republic,49.8037633,15.4749126,1/3/2023 16:41:11,1/3/2023 16:43:11,1/3/2023 16:43:41,SLA Violated,1/4/2023 16:41:11,1/3/2023 23:52:18,Within SLA,1/6/2023 0:38:59,2.5,-0.5,7.19,16.81,7.14,48.78,55.96,Tuesday,16,No,60,5,Good,Good,Good
1025,Closed,Low,Chat,Bug report,Custom software development,Tier 1,1st line support,Sheela Cutten,Poland,52.536273,19.050639,1/3/2023 4:50:04,1/3/2023 4:52:04,1/3/2023 4:50:05,Within SLA,1/4/2023 4:50:04,1/7/2023 13:17:12,SLA Violated,1/9/2023 5:37:59,0.02,1.98,104.45,-80.45,104.45,40.35,144.8,Tuesday,4,No,3,3,Good,Good,Good
1026,Closed,Low,Chat,Bug report,Ready to use Software,Tier 1,1st line support,Nicola Wane,Bulgaria,42.7249925,25.4833039,1/4/2023 10:49:27,1/4/2023 10:51:27,1/4/2023 10:50:42,Within SLA,1/5/2023 10:49:27,1/4/2023 23:37:37,Within SLA,1/5/2023 12:53:53,1.24,0.76,12.8,11.2,12.78,13.27,26.07,Wednesday,10,No,2,4,Good,Good,Good
1027,Resolved,Low,Chat,Training request,Training and Consulting Services,Tier 1,1st line support,Bernard Beckley,United Kingdom,55.378052,-3.435973,1/4/2023 7:27:56,1/4/2023 7:29:56,1/4/2023 7:28:52,Within SLA,1/5/2023 7:27:56,1/5/2023 4:41:41,Within SLA,,0.93,1.07,21.23,2.77,21.21,,,Wednesday,7,No,3,,Good,Good,N/A
1028,Resolved,Low,Chat,Bug report,Ready to use Software,Tier 1,1st line support,Kristos Westoll,Bulgaria,42.7249925,25.4833039,1/4/2023 21:46:12,1/4/2023 21:48:12,1/4/2023 21:46:51,Within SLA,1/5/2023 21:46:12,1/5/2023 13:28:20,Within SLA,,0.65,1.35,15.7,8.3,15.69,,,Wednesday,21,No,2,,Good,Good,N/A
1029,Closed,Medium,Chat,Feature request,Custom software development,Tier 1,1st line support,Bernard Beckley,Germany,51.165691,10.451526,1/4/2023 9:12:41,1/4/2023 9:14:41,1/4/2023 9:13:35,Within SLA,1/5/2023 9:12:41,1/5/2023 7:45:18,Within SLA,1/6/2023 23:18:20,0.9,1.1,22.54,1.46,22.53,39.55,62.09,Wednesday,9,No,60,5,Good,Good,Good
1030,Closed,Medium,Chat,Feature request,Ready to use Software,Tier 1,1st line support,Connor Danielovitch,Germany,51.165691,10.451526,1/4/2023 19:36:58,1/4/2023 19:38:58,1/4/2023 19:37:56,Within SLA,1/5/2023 19:36:58,1/5/2023 2:24:20,Within SLA,1/11/2023 6:16:49,0.96,1.04,6.79,17.21,6.77,147.87,154.66,Wednesday,19,No,5,4,Good,Good,Good
1031,In progress,Low,Email,Feature request,Ready to use Software,Tier 1,1st line support,Kristos Westoll,United Kingdom,55.378052,-3.435973,1/4/2023 18:08:24,1/4/2023 19:08:24,1/4/2023 18:13:04,Within SLA,1/6/2023 18:08:24,,SLA Violated,,4.67,55.33,,,,,,Wednesday,18,No,4,,Good,N/A,N/A
1032,Resolved,Low,Email,Product setup,Other,Tier 2,2nd line support,Heather Urry,Germany,51.165691,10.451526,1/4/2023 12:47:17,1/4/2023 13:47:17,1/4/2023 13:20:44,Within SLA,1/6/2023 12:47:17,1/5/2023 7:54:03,Within SLA,,33.45,26.55,19.11,28.89,18.56,,,Wednesday,12,No,2,,Good,Good,N/A
1034,In progress,Low,Chat,Other,Training and Consulting Services,Tier 1,1st line support,Connor Danielovitch,Germany,51.165691,10.451526,1/4/2023 19:06:20,1/4/2023 19:08:20,1/4/2023 19:07:35,Within SLA,1/5/2023 19:06:20,,SLA Violated,,1.26,0.74,,,,,,Wednesday,19,No,9,,Good,N/A,N/A
1035,In progress,High,Email,Training request,Training and Consulting Services,Tier 1,1st line support,Connor Danielovitch,Germany,51.165691,10.451526,1/4/2023 5:27:57,1/4/2023 6:27:57,1/4/2023 6:07:00,Within SLA,1/6/2023 5:27:57,,SLA Violated,,39.05,20.95,,,,,,Wednesday,5,No,7,,Good,N/A,N/A
1037,Resolved,Low,Email,Product setup,Custom software development,Tier 1,1st line support,Sheela Cutten,Poland,52.536273,19.050639,1/5/2023 12:10:27,1/5/2023 13:10:27,1/5/2023 12:34:20,Within SLA,1/7/2023 12:10:27,1/7/2023 11:23:15,Within SLA,,23.89,36.11,47.21,0.79,46.82,,,Thursday,12,No,1,,Good,Good,N/A
1038,Closed,High,Chat,Other,Other,Tier 1,1st line support,Bernard Beckley,Italy,43.036776,12.678565,1/5/2023 4:18:55,1/5/2023 4:20:55,1/5/2023 4:19:42,Within SLA,1/6/2023 4:18:55,1/5/2023 19:22:17,Within SLA,1/12/2023 18:08:54,0.78,1.22,15.06,8.94,15.04,166.78,181.83,Thursday,4,No,3,3,Good,Good,Good
1039,Resolved,Medium,Chat,Purchasing and invoicing,Custom software development,Tier 2,2nd line support,Adolpho Messingham,Poland,52.536273,19.050639,1/5/2023 5:16:19,1/5/2023 5:18:19,1/5/2023 5:18:01,Within SLA,1/6/2023 5:16:19,1/5/2023 7:37:11,Within SLA,,1.69,0.31,2.35,21.65,2.32,,,Thursday,5,No,3,,Good,Good,N/A
1040,In progress,High,Chat,Bug report,Ready to use Software,Tier 2,2nd line support,Heather Urry,Poland,52.536273,19.050639,1/5/2023 14:30:37,1/5/2023 14:32:37,1/5/2023 14:31:02,Within SLA,1/6/2023 14:30:37,,SLA Violated,,0.42,1.58,,,,,,Thursday,14,No,6,,Good,N/A,N/A
1041,Closed,Low,Chat,Product setup,Ready to use Software,Tier 1,1st line support,Bernard Beckley,Germany,51.165691,10.451526,1/5/2023 2:59:54,1/5/2023 3:01:54,1/5/2023 3:04:27,SLA Violated,1/6/2023 2:59:54,1/5/2023 21:50:51,Within SLA,1/6/2023 11:37:32,4.56,-2.56,18.85,5.15,18.77,13.78,32.63,Thursday,2,No,8,2,Good,Good,Good
1043,Closed,High,Email,Pricing and licensing,Custom software development,Tier 1,1st line support,Connor Danielovitch,Italy,43.036776,12.678565,1/5/2023 3:31:45,1/5/2023 4:31:45,1/5/2023 4:02:05,Within SLA,1/7/2023 3:31:45,1/6/2023 17:14:14,Within SLA,1/9/2023 18:40:34,30.33,29.67,37.71,10.29,37.2,73.44,111.15,Thursday,3,No,3,5,Good,Good,Good
1044,Closed,Low,Chat,Product setup,Custom software development,Tier 1,1st line support,Kristos Westoll,Italy,43.036776,12.678565,1/6/2023 20:45:42,1/6/2023 20:47:42,1/6/2023 20:47:41,Within SLA,1/7/2023 20:45:42,1/7/2023 0:07:33,Within SLA,1/13/2023 23:39:59,1.99,0.01,3.36,20.64,3.33,167.54,170.9,Friday,20,No,3,2,Good,Good,Good
1045,Resolved,Medium,Email,Bug report,Ready to use Software,Tier 1,1st line support,Kristos Westoll,Slovenia,46.1491664,14.9860106,1/6/2023 20:14:59,1/6/2023 21:14:59,1/6/2023 20:58:30,Within SLA,1/8/2023 20:14:59,1/8/2023 7:15:33,Within SLA,,43.51,16.49,35.01,12.99,34.28,,,Friday,20,No,4,,Good,Good,N/A
1046,Resolved,High,Email,Bug report,Custom software development,Tier 1,1st line support,Sheela Cutten,Poland,52.536273,19.050639,1/6/2023 15:11:41,1/6/2023 16:11:41,1/6/2023 15:35:55,Within SLA,1/8/2023 15:11:41,1/7/2023 6:22:47,Within SLA,,24.24,35.76,15.19,32.81,14.78,,,Friday,15,No,1,,Good,Good,N/A
1047,In progress,Low,Email,Pricing and licensing,Training and Consulting Services,Tier 1,1st line support,Bernard Beckley,Greece,39.368279,21.863141,1/6/2023 3:15:21,1/6/2023 4:15:21,1/6/2023 4:07:58,Within SLA,1/8/2023 3:15:21,,SLA Violated,,52.61,7.39,,,,,,Friday,3,No,1,,Good,N/A,N/A
1048,In progress,Low,Chat,Pricing and licensing,Ready to use Software,Tier 1,1st line support,Bernard Beckley,Greece,39.368279,21.863141,1/6/2023 23:55:57,1/6/2023 23:57:57,1/6/2023 23:56:15,Within SLA,1/7/2023 23:55:57,,SLA Violated,,0.3,1.7,,,,,,Friday,23,No,8,,Good,N/A,N/A
1049,Closed,Medium,Chat,Pricing and licensing,Custom software development,Tier 1,1st line support,Sheela Cutten,Poland,52.536273,19.050639,1/6/2023 12:05:00,1/6/2023 12:07:00,1/6/2023 12:06:37,Within SLA,1/7/2023 12:05:00,1/11/2023 5:34:05,SLA Violated,1/11/2023 20:40:58,1.62,0.38,113.48,-89.48,113.46,15.11,128.6,Friday,12,No,3,4,Good,Good,Good
1050,Closed,Low,Email,Product setup,Training and Consulting Services,Tier 1,1st line support,Nicola Wane,Spain,39.67337,-4.767726,1/7/2023 1:13:52,1/7/2023 2:13:52,1/7/2023 1:33:11,Within SLA,1/9/2023 1:13:52,1/12/2023 2:26:02,SLA Violated,1/14/2023 0:42:19,19.32,40.68,121.2,-73.2,120.88,46.27,167.47,Saturday,1,Yes,6,4,Good,Good,Good
1054,Closed,High,Email,Purchasing and invoicing,Custom software development,Tier 2,2nd line support,Michele Whyatt,Italy,43.036776,12.678565,1/7/2023 5:28:54,1/7/2023 6:28:54,1/7/2023 6:09:50,Within SLA,1/9/2023 5:28:54,1/8/2023 8:30:23,Within SLA,1/14/2023 16:18:51,40.94,19.06,27.02,20.98,26.34,151.81,178.83,Saturday,5,Yes,2,5,Good,Good,Good
1055,Closed,High,Email,Bug report,Ready to use Software,Tier 1,1st line support,Connor Danielovitch,Republic of Ireland,53.094024,-8.019675,1/7/2023 18:09:17,1/7/2023 19:09:17,1/7/2023 19:04:58,Within SLA,1/9/2023 18:09:17,1/9/2023 13:07:23,Within SLA,1/12/2023 22:16:01,55.69,4.31,42.97,5.03,42.04,81.14,124.11,Saturday,18,Yes,8,4,Good,Good,Good
1056,Resolved,Low,Email,Bug report,Custom software development,Tier 1,1st line support,Kristos Westoll,Germany,51.165691,10.451526,1/7/2023 0:13:20,1/7/2023 1:13:20,1/7/2023 0:19:14,Within SLA,1/9/2023 0:13:20,1/8/2023 13:56:20,Within SLA,,5.89,54.11,37.72,10.28,37.62,,,Saturday,0,Yes,8,,Good,Good,N/A
1057,Closed,Medium,Email,Feature request,Ready to use Software,Tier 1,1st line support,Bernard Beckley,Germany,51.165691,10.451526,1/7/2023 9:55:14,1/7/2023 10:55:14,1/7/2023 10:35:51,Within SLA,1/9/2023 9:55:14,1/9/2023 1:35:54,Within SLA,1/9/2023 9:28:10,40.62,19.38,39.68,8.32,39,7.87,47.55,Saturday,9,Yes,7,5,Good,Good,Good
1058,In progress,Medium,Email,Pricing and licensing,Ready to use Software,Tier 1,1st line support,Bernard Beckley,France,48.864716,2.349014,1/8/2023 13:39:52,1/8/2023 14:39:52,1/8/2023 14:36:27,Within SLA,1/10/2023 13:39:52,,SLA Violated,,56.59,3.41,,,,,,Sunday,13,Yes,10,,Good,N/A,N/A
1062,In progress,Low,Chat,Pricing and licensing,Custom software development,Tier 1,1st line support,Nicola Wane,Republic of Ireland,53.094024,-8.019675,1/8/2023 19:35:27,1/8/2023 19:37:27,1/8/2023 19:36:35,Within SLA,1/9/2023 19:35:27,,SLA Violated,,1.14,0.86,,,,,,Sunday,19,Yes,60,,Good,N/A,N/A
1063,Closed,Low,Phone,Feature request,Ready to use Software,Tier 1,1st line support,Kristos Westoll,United Kingdom,55.378052,-3.435973,1/8/2023 4:56:45,1/8/2023 4:58:45,1/8/2023 5:01:41,SLA Violated,1/10/2023 4:56:45,1/8/2023 8:51:45,Within SLA,1/12/2023 4:26:34,4.94,-2.94,3.92,44.08,3.83,91.58,95.5,Sunday,4,Yes,2,1,Good,Good,Good
1064,Closed,High,Chat,Other,Ready to use Software,Tier 1,1st line support,Connor Danielovitch,United Kingdom,55.378052,-3.435973,1/8/2023 10:58:22,1/8/2023 11:00:22,1/8/2023 10:59:36,Within SLA,1/9/2023 10:58:22,1/8/2023 17:42:49,Within SLA,1/10/2023 20:07:57,1.23,0.77,6.74,17.26,6.72,50.42,57.16,Sunday,10,Yes,5,5,Good,Good,Good
1065,Closed,Medium,Chat,Product setup,Ready to use Software,Tier 1,1st line support,Sheela Cutten,United Kingdom,55.378052,-3.435973,1/8/2023 1:00:01,1/8/2023 1:02:01,1/8/2023 1:01:25,Within SLA,1/9/2023 1:00:01,1/8/2023 4:07:24,Within SLA,1/10/2023 14:51:41,1.4,0.6,3.12,20.88,3.1,58.74,61.86,Sunday,1,Yes,3,3,Good,Good,Good
1066,Resolved,Medium,Chat,Product setup,Ready to use Software,Tier 1,1st line support,Sheela Cutten,Spain,39.67337,-4.767726,1/9/2023 14:16:59,1/9/2023 14:18:59,1/9/2023 14:17:22,Within SLA,1/10/2023 14:16:59,1/10/2023 6:21:29,Within SLA,,0.39,1.61,16.07,7.93,16.07,,,Monday,14,No,6,,Good,Good,N/A
1067,Resolved,Low,Email,Product setup,Custom software development,Tier 1,1st line support,Sheela Cutten,Germany,51.165691,10.451526,1/9/2023 15:09:10,1/9/2023 16:09:10,1/9/2023 15:37:19,Within SLA,1/11/2023 15:09:10,1/11/2023 1:02:32,Within SLA,,28.14,31.86,33.89,14.11,33.42,,,Monday,15,No,3,,Good,Good,N/A
1068,Closed,Low,Email,Product setup,Ready to use Software,Tier 1,1st line support,Kristos Westoll,Greece,39.368279,21.863141,1/9/2023 14:10:12,1/9/2023 15:10:12,1/9/2023 14:48:04,Within SLA,1/11/2023 14:10:12,1/10/2023 19:32:17,Within SLA,1/10/2023 23:22:09,37.87,22.13,29.37,18.63,28.74,3.83,33.2,Monday,14,No,3,1,Good,Good,Good
1069,Closed,Medium,Email,Pricing and licensing,Custom software development,Tier 2,2nd line support,Heather Urry,Poland,52.536273,19.050639,1/9/2023 17:25:30,1/9/2023 18:25:30,1/9/2023 17:57:42,Within SLA,1/11/2023 17:25:30,1/10/2023 12:39:06,Within SLA,1/15/2023 9:04:12,32.19,27.81,19.23,28.77,18.69,116.42,135.65,Monday,17,No,2,5,Good,Good,Good
1070,Resolved,High,Email,Pricing and licensing,Custom software development,Tier 2,2nd line support,Adolpho Messingham,Germany,51.165691,10.451526,1/9/2023 18:55:21,1/9/2023 19:55:21,1/9/2023 19:32:12,Within SLA,1/11/2023 18:55:21,1/15/2023 17:10:06,SLA Violated,,36.85,23.15,142.25,-94.25,141.63,,,Monday,18,No,1,,Good,Good,N/A
1071,Closed,Medium,Email,Training request,Training and Consulting Services,Tier 2,2nd line support,Michele Whyatt,Republic of Ireland,53.094024,-8.019675,1/9/2023 11:56:11,1/9/2023 12:56:11,1/9/2023 12:16:08,Within SLA,1/11/2023 11:56:11,1/10/2023 16:04:07,Within SLA,1/12/2023 10:45:03,19.95,40.05,28.13,19.87,27.8,42.68,70.81,Monday,11,No,1,4,Good,Good,Good
1072,Closed,High,Email,Feature request,Custom software development,Tier 1,1st line support,Sheela Cutten,Germany,51.165691,10.451526,1/9/2023 20:14:31,1/9/2023 21:14:31,1/9/2023 20:29:39,Within SLA,1/11/2023 20:14:31,1/9/2023 20:44:54,Within SLA,1/12/2023 0:24:19,15.13,44.87,0.51,47.49,0.25,51.66,52.16,Monday,20,No,1,5,Good,Good,Good
1073,Closed,Medium,Email,Pricing and licensing,Ready to use Software,Tier 1,1st line support,Kristos Westoll,Greece,39.368279,21.863141,1/9/2023 9:10:39,1/9/2023 10:10:39,1/9/2023 9:17:01,Within SLA,1/11/2023 9:10:39,1/9/2023 21:58:19,Within SLA,1/11/2023 1:48:08,6.37,53.63,12.79,35.21,12.69,27.83,40.62,Monday,9,No,7,3,Good,Good,Good
1074,Closed,Low,Chat,Pricing and licensing,Ready to use Software,Tier 1,1st line support,Nicola Wane,Slovenia,46.1491664,14.9860106,1/9/2023 6:50:00,1/9/2023 6:52:00,1/9/2023 6:54:54,SLA Violated,1/10/2023 6:50:00,1/9/2023 22:42:50,Within SLA,1/13/2023 1:00:45,4.9,-2.9,15.88,8.12,15.8,74.3,90.18,Monday,6,No,3,4,Good,Good,Good
1075,Closed,High,Email,Product setup,Ready to use Software,Tier 1,1st line support,Kristos Westoll,Czech Republic,49.8037633,15.4749126,1/9/2023 21:50:02,1/9/2023 22:50:02,1/10/2023 0:25:12,SLA Violated,1/11/2023 21:50:02,1/11/2023 9:54:58,Within SLA,1/16/2023 14:36:37,155.17,-95.17,36.08,11.92,33.5,124.69,160.78,Monday,21,No,5,2,Good,Good,Good
1076,Closed,Low,Phone,Product setup,Ready to use Software,Tier 1,1st line support,Bernard Beckley,Germany,51.165691,10.451526,1/9/2023 2:55:23,1/9/2023 2:57:23,1/9/2023 2:55:32,Within SLA,1/11/2023 2:55:23,1/10/2023 22:20:44,Within SLA,1/12/2023 19:40:47,0.15,1.85,43.42,4.58,43.42,45.33,88.76,Monday,2,No,3,5,Good,Good,Good
1077,Resolved,Low,Email,Pricing and licensing,Ready to use Software,Tier 1,1st line support,Sheela Cutten,Bulgaria,42.7249925,25.4833039,1/10/2023 2:10:01,1/10/2023 3:10:01,1/10/2023 2:35:28,Within SLA,1/12/2023 2:10:01,1/11/2023 21:39:27,Within SLA,,25.45,34.55,43.49,4.51,43.07,,,Tuesday,2,No,2,,Good,Good,N/A
1078,Closed,Low,Email,Pricing and licensing,Ready to use Software,Tier 1,1st line support,Sheela Cutten,Germany,51.165691,10.451526,1/10/2023 13:46:53,1/10/2023 14:46:53,1/10/2023 13:50:12,Within SLA,1/12/2023 13:46:53,1/12/2023 6:52:28,Within SLA,1/16/2023 1:36:05,3.31,56.69,41.09,6.91,41.04,90.73,131.82,Tuesday,13,No,7,2,Good,Good,Good
1079,Resolved,Low,Email,Product setup,Other,Tier 1,1st line support,Kristos Westoll,Germany,51.165691,10.451526,1/10/2023 9:42:12,1/10/2023 10:42:12,1/10/2023 10:30:03,Within SLA,1/12/2023 9:42:12,1/12/2023 1:12:11,Within SLA,,47.85,12.15,39.5,8.5,38.7,,,Tuesday,9,No,2,,Good,Good,N/A
1080,Closed,Low,Chat,Product setup,Training and Consulting Services,Tier 1,1st line support,Kristos Westoll,Spain,39.67337,-4.767726,1/10/2023 3:17:26,1/10/2023 3:19:26,1/10/2023 3:17:37,Within SLA,1/11/2023 3:17:26,1/10/2023 13:22:16,Within SLA,1/11/2023 12:32:24,0.19,1.81,10.08,13.92,10.08,23.17,33.25,Tuesday,3,No,3,3,Good,Good,Good
1081,In progress,Medium,Chat,Product setup,Custom software development,Tier 1,1st line support,Bernard Beckley,Austria,47.6964719,13.3457347,1/10/2023 4:29:04,1/10/2023 4:31:04,1/10/2023 4:29:36,Within SLA,1/11/2023 4:29:04,,SLA Violated,,0.54,1.46,,,,,,Tuesday,4,No,3,,Good,N/A,N/A
1082,Closed,Low,Phone,Product setup,Custom software development,Tier 1,1st line support,Connor Danielovitch,Poland,52.536273,19.050639,1/10/2023 20:59:34,1/10/2023 21:01:34,1/10/2023 21:00:38,Within SLA,1/12/2023 20:59:34,1/12/2023 17:31:37,Within SLA,1/12/2023 14:16:45,1.06,0.94,44.53,3.47,44.52,-3.25,41.29,Tuesday,20,No,5,5,Good,Good,Bad
1083,Resolved,Low,Phone,Pricing and licensing,Ready to use Software,Tier 1,1st line support,Sheela Cutten,Poland,52.536273,19.050639,1/10/2023 23:30:30,1/10/2023 23:32:30,1/10/2023 23:31:13,Within SLA,1/12/2023 23:30:30,1/12/2023 0:58:24,Within SLA,,0.71,1.29,25.46,22.54,25.45,,,Tuesday,23,No,1,,Good,Good,N/A
1084,Resolved,Medium,Email,Other,Other,Tier 1,1st line support,Connor Danielovitch,United Kingdom,55.378052,-3.435973,1/10/2023 10:14:54,1/10/2023 11:14:54,1/10/2023 11:06:45,Within SLA,1/12/2023 10:14:54,1/11/2023 20:40:17,Within SLA,,51.85,8.15,34.42,13.58,33.56,,,Tuesday,10,No,7,,Good,Good,N/A
1085,Closed,High,Chat,Product setup,Ready to use Software,Tier 1,1st line support,Bernard Beckley,Germany,51.165691,10.451526,1/10/2023 7:30:22,1/10/2023 7:32:22,1/10/2023 7:31:48,Within SLA,1/11/2023 7:30:22,1/10/2023 10:50:31,Within SLA,1/14/2023 6:35:30,1.43,0.57,3.34,20.66,3.31,91.75,95.09,Tuesday,7,No,4,5,Good,Good,Good
1086,Resolved,Medium,Email,Purchasing and invoicing,Ready to use Software,Tier 1,1st line support,Nicola Wane,Germany,51.165691,10.451526,1/10/2023 17:16:11,1/10/2023 18:16:11,1/10/2023 17:44:05,Within SLA,1/12/2023 17:16:11,1/12/2023 7:22:03,Within SLA,,27.89,32.11,38.1,9.9,37.63,,,Tuesday,17,No,10,,Good,Good,N/A
1087,Closed,Low,Email,Feature request,Ready to use Software,Tier 2,2nd line support,Adolpho Messingham,Italy,43.036776,12.678565,1/11/2023 19:17:35,1/11/2023 20:17:35,1/11/2023 19:18:54,Within SLA,1/13/2023 19:17:35,1/11/2023 20:05:34,Within SLA,1/15/2023 1:15:05,1.32,58.68,0.8,47.2,0.78,77.16,77.96,Wednesday,19,No,8,5,Good,Good,Good
1088,Closed,Low,Chat,Purchasing and invoicing,Training and Consulting Services,Tier 1,1st line support,Nicola Wane,Spain,39.67337,-4.767726,1/11/2023 11:24:14,1/11/2023 11:26:14,1/11/2023 11:25:37,Within SLA,1/12/2023 11:24:14,1/11/2023 20:49:43,Within SLA,1/13/2023 5:00:00,1.39,0.61,9.42,14.58,9.4,32.17,41.6,Wednesday,11,No,8,4,Good,Good,Good
1090,Resolved,Low,Chat,Feature request,Ready to use Software,Tier 1,1st line support,Bernard Beckley,Italy,43.036776,12.678565,1/11/2023 0:49:24,1/11/2023 0:51:24,1/11/2023 0:50:16,Within SLA,1/12/2023 0:49:24,1/11/2023 14:39:13,Within SLA,,0.86,1.14,13.83,10.17,13.82,,,Wednesday,0,No,4,,Good,Good,N/A
1092,Resolved,Medium,Chat,Pricing and licensing,Custom software development,Tier 1,1st line support,Bernard Beckley,Germany,51.165691,10.451526,1/11/2023 12:31:52,1/11/2023 12:33:52,1/11/2023 12:31:53,Within SLA,1/12/2023 12:31:52,1/12/2023 12:24:21,Within SLA,,0.02,1.98,23.87,0.13,23.87,,,Wednesday,12,No,3,,Good,Good,N/A
1093,Resolved,Low,Email,Product setup,Custom software development,Tier 1,1st line support,Sheela Cutten,United Kingdom,55.378052,-3.435973,1/11/2023 13:45:35,1/11/2023 14:45:35,1/11/2023 14:12:45,Within SLA,1/13/2023 13:45:35,1/12/2023 0:00:02,Within SLA,,27.17,32.83,10.24,37.76,9.79,,,Wednesday,13,No,8,,Good,Good,N/A
